"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Deaths"
"0","1000","0","248","1.96","941","0","496","0","0"
"1","1000","0","290","2.04","1160","0","404","0","0"
"2","1000","0","336","2.12","1308","0","313","0","0"
"3","1000","0","350","2","1367","0","284","0","0"
"4","1000","0","360","1.99","1388","0","263","0","0"
"5","1000","0","369","1.93","1442","0","247","0","0"
"6","1000","0","373","1.98","1479","0","240","0","0"
"7","1000","0","381","2.03","1510","0","229","0","0"
"8","1000","0","382","1.97","1512","0","215","0","0"
"9","1000","0","386","1.97","1523","0","216","0","0"
"10","1002","0","386","2.08","1521","2","206","0","0"
"11","1005","0","391","1.93","1502","3","209","0","0"
"12","1013","0","392","1.91","1518","8","207","0","0"
"13","1021","0","394","1.99","1555","8","208","0","0"
"14","1029","0","402","1.9","1508","8","202","0","0"
"15","1035","0","411","1.76","1514","6","193","0","0"
"16","1051","0","408","1.78","1498","16","192","0","0"
"17","1065","0","414","1.91","1533","14","206","0","0"
"18","1078","0","414","1.87","1521","13","217","0","0"
"19","1088","0","422","1.93","1520","10","220","0","0"
"20","1100","0","417","1.76","1475","12","230","0","0"
"21","1121","0","412","1.78","1448","21","239","0","0"
"22","1133","0","430","1.82","1485","12","229","0","0"
"23","1138","0","441","1.8","1506","5","229","0","0"
"24","1152","0","434","1.79","1515","14","243","0","0"
"25","1167","0","446","1.81","1555","15","229","0","0"
"26","1183","0","452","1.76","1536","16","236","0","0"
"27","1195","0","450","1.71","1503","12","255","0","0"
"28","1215","0","445","1.72","1483","20","268","0","0"
"29","1234","0","467","1.72","1609","19","255","0","0"
"30","1252","0","475","1.83","1593","18","249","0","0"
"31","1273","0","480","1.67","1600","21","259","0","0"
"32","1296","0","488","1.65","1614","23","248","0","0"
"33","1310","0","498","1.63","1605","14","255","0","0"
"34","1331","0","511","1.77","1724","21","255","0","0"
"35","1351","0","512","1.7","1695","20","264","0","0"
"36","1371","0","522","1.7","1727","20","257","0","0"
"37","1391","0","528","1.71","1740","20","269","0","0"
"38","1411","0","550","1.65","1821","20","240","0","0"
"39","1435","0","547","1.7","1791","24","258","0","0"
"40","1451","0","558","1.74","1812","16","261","0","0"
"41","1474","0","571","1.76","1843","23","255","0","0"
"42","1488","0","559","1.61","1774","14","261","0","0"
"43","1518","0","574","1.72","1836","30","282","0","0"
"44","1547","0","582","1.78","1900","29","283","0","0"
"45","1569","0","596","1.75","1943","22","284","0","0"
"46","1585","0","608","1.62","1955","16","294","0","0"
"47","1603","0","604","1.66","1935","18","311","0","0"
"48","1634","0","613","1.77","1986","31","305","0","0"
"49","1662","0","611","1.57","1958","28","314","0","0"
"50","1691","0","631","1.8","2035","29","311","0","0"
"51","1716","0","646","1.71","2117","25","306","0","0"
"52","1747","0","654","1.65","2069","31","319","0","0"
"53","1782","0","677","1.75","2184","35","312","0","0"
"54","1809","0","668","1.69","2158","27","333","0","0"
"55","1835","0","685","1.74","2180","26","337","0","0"
"56","1876","0","689","1.66","2187","41","340","0","0"
"57","1901","0","705","1.63","2263","25","338","0","0"
"58","1928","0","717","1.76","2252","27","341","0","0"
"59","1958","0","731","1.71","2282","30","351","0","0"
"60","1994","0","747","1.7","2365","36","349","0","0"
"61","2022","0","765","1.66","2429","28","332","0","0"
"62","2052","0","757","1.71","2431","30","341","0","0"
"63","2086","0","785","1.79","2592","34","346","0","0"
"64","2125","0","786","1.72","2563","39","341","0","0"
"65","2156","0","802","1.74","2605","31","368","0","0"
"66","2179","0","822","1.77","2618","23","370","0","0"
"67","2210","0","836","1.66","2558","31","342","0","0"
"68","2246","0","850","1.72","2596","36","325","0","0"
"69","2287","0","869","1.68","2718","41","329","0","0"
"70","2322","0","864","1.66","2655","35","339","0","0"
"71","2361","0","885","1.67","2752","39","357","0","0"
"72","2398","0","894","1.67","2797","37","364","0","0"
"73","2423","0","908","1.66","2790","25","350","0","0"
"74","2459","0","915","1.65","2769","36","361","0","0"
"75","2493","0","955","1.73","2996","34","360","0","0"
"76","2531","0","947","1.69","2941","38","370","0","0"
"77","2565","0","963","1.66","2951","34","356","0","0"
"78","2608","0","989","1.71","3082","43","342","0","0"
"79","2640","0","1018","1.67","3261","32","347","0","0"
"80","2688","0","1006","1.73","3156","48","345","0","0"
"81","2728","0","1032","1.66","3166","40","336","0","0"
"82","2777","0","1051","1.6","3142","49","360","0","0"
"83","2811","0","1072","1.63","3206","34","353","0","0"
"84","2865","0","1093","1.69","3405","54","359","0","0"
"85","2908","0","1106","1.73","3406","43","376","0","0"
"86","2955","0","1087","1.69","3325","47","392","1","0"
"87","3004","0","1115","1.69","3380","49","408","2","0"
"88","3047","0","1139","1.69","3493","43","399","2","0"
"89","3098","0","1183","1.71","3674","51","355","2","0"
"90","3150","0","1184","1.71","3643","52","377","3","0"
"91","3204","0","1184","1.71","3687","54","377","3","0"
"92","3249","0","1227","1.7","3779","45","361","3","0"
"93","3296","0","1248","1.71","3876","47","364","3","0"
"94","3353","0","1265","1.72","3920","57","377","5","0"
"95","3400","0","1266","1.67","3862","47","369","5","0"
"96","3457","0","1317","1.66","4017","57","353","5","0"
"97","3526","0","1342","1.67","3990","69","335","5","0"
"98","3586","0","1349","1.68","4119","60","339","5","0"
"99","3628","0","1351","1.68","4086","42","372","5","0"
"100","3673","0","1376","1.67","4226","45","373","6","0"
"101","3733","0","1394","1.67","4245","60","351","7","0"
"102","3791","0","1442","1.65","4252","58","358","7","0"
"103","3844","0","1433","1.67","4373","53","330","9","0"
"104","3898","0","1468","1.68","4457","54","367","11","0"
"105","3959","0","1504","1.67","4498","61","327","13","0"
"106","4008","0","1509","1.65","4572","49","361","14","0"
"107","4074","0","1527","1.7","4706","66","367","16","0"
"108","4125","0","1568","1.65","4658","51","316","16","0"
"109","4179","0","1588","1.69","4790","54","373","18","0"
"110","4228","0","1608","1.67","4852","49","377","21","0"
"111","4291","0","1605","1.69","4871","63","347","23","0"
"112","4351","0","1632","1.67","4927","60","347","25","0"
"113","4413","0","1666","1.64","5006","62","332","27","0"
"114","4466","0","1662","1.63","4949","53","349","29","0"
"115","4523","0","1694","1.67","5065","57","341","29","0"
"116","4579","0","1715","1.67","5188","56","314","32","0"
"117","4650","0","1739","1.64","5127","71","347","33","0"
"118","4721","0","1765","1.64","5207","71","317","35","0"
"119","4786","0","1788","1.65","5321","65","345","39","0"
"120","4843","0","1819","1.66","5439","57","347","42","0"
"121","4888","0","1844","1.61","5363","45","319","47","0"
"122","4944","0","1846","1.6","5340","56","318","49","0"
"123","5000","0","1877","1.64","5553","56","306","52","0"
"124","5000","0","1893","1.63","5533","0","318","54","0"
"125","5000","0","1884","1.61","5478","0","318","56","0"
"126","5000","0","1877","1.64","5645","0","348","60","0"
"127","5000","0","1887","1.63","5607","0","340","61","0"
"128","5000","0","1893","1.65","5668","0","328","62","0"
"129","5000","0","1883","1.65","5615","0","315","66","0"
"130","5000","0","1903","1.63","5636","0","321","69","0"
"131","5000","0","1904","1.62","5627","0","338","71","0"
"132","5000","0","1913","1.67","5783","0","322","72","0"
"133","5000","0","1891","1.66","5606","0","333","73","0"
"134","5000","0","1907","1.63","5665","0","346","74","0"
"135","5000","0","1915","1.65","5713","0","336","75","0"
"136","5000","0","1904","1.68","5797","0","343","76","0"
"137","5000","0","1893","1.64","5551","0","335","77","0"
"138","5000","0","1896","1.65","5675","0","364","78","0"
"139","5000","0","1880","1.62","5519","0","311","80","0"
"140","5000","0","1914","1.62","5666","0","369","81","0"
"141","5000","0","1870","1.6","5501","0","340","83","0"
"142","5000","0","1903","1.67","5679","0","356","89","0"
"143","5000","0","1927","1.61","5651","0","341","93","0"
"144","5000","0","1891","1.62","5602","0","366","96","0"
"145","5000","0","1900","1.62","5655","0","341","97","0"
"146","5000","0","1885","1.64","5623","0","353","100","0"
"147","5000","0","1897","1.66","5678","0","317","103","0"
"148","5000","0","1897","1.63","5648","0","315","104","0"
"149","5000","0","1893","1.64","5699","0","356","106","0"
"150","5000","0","1893","1.7","5799","0","360","108","0"
"151","5000","0","1896","1.63","5663","0","371","110","0"
"152","5000","0","1899","1.62","5606","0","344","110","0"
"153","5000","0","1937","1.65","5802","0","327","112","0"
"154","5000","0","1916","1.67","5801","0","334","113","0"
"155","5000","0","1933","1.7","5913","0","331","115","0"
"156","5000","0","1925","1.65","5806","0","314","115","0"
"157","5000","0","1887","1.66","5707","0","340","120","0"
"158","5000","0","1926","1.63","5763","0","345","123","0"
"159","5000","0","1913","1.65","5738","0","346","123","0"
"160","5000","0","1874","1.61","5589","0","333","124","0"
"161","5000","0","1904","1.62","5567","0","341","127","0"
"162","5000","0","1893","1.67","5713","0","364","128","0"
"163","5000","0","1902","1.65","5745","0","380","129","0"
"164","5000","0","1908","1.64","5772","0","367","130","0"
"165","5000","0","1900","1.67","5747","0","336","132","0"
"166","5000","0","1908","1.7","5836","0","354","132","0"
"167","5000","0","1913","1.67","5794","0","358","133","0"
"168","5000","0","1900","1.68","5788","0","378","136","0"
"169","5000","0","1895","1.65","5800","0","341","137","0"
