"Time","# Players","Strategy 0","Strategy 1","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Deaths","Energy Removed"
"0","1000","500","500","0","212","1.68","762","0","561","121","0","500"
"1","997","497","500","0","284","1.64","958","0","419","121","3","500"
"2","995","495","500","0","310","1.74","1061","0","363","121","2","498.5"
"3","977","485","492","0","333","1.61","1130","0","320","121","18","497.5"
"4","977","485","492","0","333","1.77","1148","0","298","121","0","488.5"
"5","970","482","488","0","345","1.7","1161","0","273","121","7","488.5"
"6","968","480","488","0","350","1.57","1182","0","256","121","2","485"
"7","949","468","481","0","363","1.65","1242","0","230","121","19","484"
"8","944","463","481","0","345","1.72","1164","0","244","121","5","474.5"
"9","927","452","475","0","352","1.86","1218","0","235","121","17","472"
"10","921","446","475","0","337","1.76","1173","0","239","121","6","463.5"
"11","908","435","473","0","336","1.85","1180","1","243","121","14","460.5"
"12","908","433","475","0","333","1.82","1175","2","236","121","2","454"
"13","890","421","469","0","341","1.73","1172","1","221","121","19","454"
"14","889","414","475","0","336","1.66","1125","6","214","121","7","445"
"15","885","410","475","0","328","1.66","1098","4","224","121","8","444.5"
"16","886","406","480","0","337","1.8","1116","5","205","121","4","442.5"
"17","875","396","479","0","341","1.61","1088","3","200","121","14","443"
"18","875","393","482","0","328","1.65","1064","3","206","121","3","437.5"
"19","870","388","482","0","328","1.6","1047","6","210","121","11","437.5"
"20","871","385","486","0","328","1.69","1015","4","209","121","3","435"
"21","875","380","495","0","328","1.59","1025","16","205","121","12","435.5"
"22","881","376","505","0","326","1.39","993","10","211","121","4","437.5"
"23","878","371","507","0","324","1.37","944","9","216","121","12","440.5"
"24","880","371","509","0","316","1.37","921","3","227","121","1","439"
"25","883","370","513","0","333","1.58","968","10","199","121","7","440"
"26","888","371","517","0","329","1.6","975","6","216","121","1","441.5"
"27","893","371","522","0","331","1.55","936","11","211","121","6","444"
"28","900","374","526","0","333","1.54","984","9","208","121","2","446.5"
"29","908","369","539","0","344","1.36","981","19","202","121","11","450"
"30","911","367","544","0","336","1.46","953","7","220","121","4","454"
"31","904","361","543","0","338","1.36","921","7","215","121","14","455.5"
"32","908","362","546","0","331","1.46","903","6","222","121","2","452"
"33","914","364","550","0","348","1.4","954","10","208","121","4","454"
"34","921","366","555","0","340","1.37","900","8","225","121","1","457"
"35","921","364","557","0","345","1.38","907","8","212","121","8","460.5"
"36","921","363","558","0","351","1.26","906","2","199","121","2","460.5"
"37","923","362","561","0","359","1.32","941","13","186","121","11","460.5"
"38","921","359","562","0","357","1.28","896","2","193","121","4","461.5"
"39","926","359","567","0","352","1.49","923","12","200","121","7","460.5"
"40","931","359","572","0","343","1.25","853","6","213","121","1","463"
"41","935","360","575","0","350","1.41","897","9","208","121","5","465.5"
"42","943","364","579","0","349","1.24","852","9","210","121","1","467.5"
"43","947","365","582","0","367","1.16","882","11","196","121","7","471.5"
"44","950","364","586","0","367","1.38","904","6","188","121","3","473.5"
"45","957","368","589","0","360","1.32","881","16","214","121","9","475"
"46","964","371","593","0","367","1.31","912","7","208","121","0","478.5"
"47","974","373","601","0","362","1.34","906","13","208","121","3","482"
"48","982","379","603","0","362","1.14","855","9","218","121","1","487"
"49","993","384","609","0","382","1.45","967","17","196","121","6","491"
"50","997","384","613","0","380","1.41","960","5","209","121","1","496.5"
"51","1002","388","614","0","377","1.3","929","11","216","121","6","498.5"
"52","1015","392","623","0","380","1.38","978","14","216","121","1","501"
"53","1024","396","628","0","383","1.34","922","12","217","121","3","507.5"
"54","1029","396","633","0","385","1.26","949","6","238","121","1","512"
"55","1032","398","634","0","384","1.17","918","10","245","121","7","514.5"
"56","1043","403","640","0","390","1.28","906","11","223","121","0","516"
"57","1047","406","641","0","390","1.48","1000","9","239","121","5","521.5"
"58","1053","407","646","0","405","1.4","1018","7","215","121","1","523.5"
"59","1054","406","648","0","402","1.34","979","3","219","121","2","526.5"
"60","1062","410","652","0","404","1.29","989","8","224","121","0","527"
"61","1062","408","654","0","401","1.33","1000","8","228","121","8","531"
"62","1067","409","658","0","411","1.3","1014","6","207","121","1","531"
"63","1069","407","662","0","414","1.27","985","8","213","121","6","533.5"
"64","1080","412","668","0","411","1.32","985","11","223","121","0","534.5"
"65","1088","415","673","0","427","1.3","1034","11","196","121","3","540"
"66","1101","416","685","0","425","1.32","1038","15","206","121","2","544"
"67","1103","413","690","0","430","1.23","1013","8","212","121","6","550.5"
