"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Energy Removed","Deaths"
"0","982","0","231","1.8","802","0","520","0","1500","18"
"1","966","0","276","1.64","971","0","412","0","1473","16"
"2","926","0","305","1.8","1054","0","348","0","1449","40"
"3","913","0","298","1.73","1058","0","323","0","1389","13"
"4","883","0","312","1.81","1097","0","273","0","1369.5","30"
"5","871","0","303","1.82","1071","0","269","0","1324.5","12"
"6","852","0","306","1.88","1062","0","249","0","1306.5","19"
"7","838","0","297","1.8","1064","0","253","0","1278","14"
"8","814","0","301","1.94","1062","0","230","0","1257","24"
"9","804","0","297","1.76","1036","0","217","0","1221","10"
"10","779","0","290","1.75","1016","0","213","0","1206","25"
"11","755","0","284","1.87","996","0","207","0","1168.5","24"
"12","723","0","273","1.83","943","0","203","0","1132.5","32"
"13","711","0","254","1.77","886","0","211","0","1084.5","12"
"14","690","0","258","1.6","867","0","191","0","1066.5","21"
"15","675","0","252","1.99","860","1","180","0","1035","16"
"16","648","0","244","1.72","821","1","185","0","1012.5","28"
"17","640","0","226","1.88","777","2","191","0","972","10"
"18","620","0","221","1.83","782","2","194","0","960","22"
"19","610","0","215","1.73","754","2","186","0","930","12"
"20","588","0","213","1.83","735","2","179","0","915","24"
"21","581","0","206","1.56","696","0","174","0","882","7"
"22","565","0","203","1.4","631","2","169","0","871.5","18"
"23","553","0","199","1.78","634","1","161","0","847.5","13"
"24","536","0","195","1.54","608","0","160","0","829.5","17"
"25","526","0","185","1.6","588","1","163","0","804","11"
"26","499","0","183","1.6","562","2","158","0","789","29"
"27","495","0","165","1.54","534","0","165","0","748.5","4"
"28","482","0","171","1.54","541","1","153","0","742.5","14"
"29","476","0","162","1.81","532","1","154","0","723","7"
"30","466","0","160","1.53","507","2","150","0","714","12"
"31","461","0","160","1.55","512","1","144","0","699","6"
"32","444","0","159","1.93","509","1","137","0","691.5","18"
"33","435","0","151","1.57","487","2","140","0","666","11"
"34","425","0","146","1.68","489","0","142","0","652.5","10"
"35","423","0","146","1.74","475","1","126","0","637.5","3"
"36","418","0","147","1.72","466","2","127","0","634.5","7"
"37","416","0","143","1.64","461","2","132","0","627","4"
"38","405","0","142","1.57","448","0","132","0","624","11"
"39","406","0","132","1.85","437","2","139","0","607.5","1"
"40","398","0","136","1.7","439","2","133","0","609","10"
"41","395","0","135","1.58","436","1","128","0","597","4"
"42","385","0","128","1.76","423","0","137","0","592.5","10"
"43","384","0","124","1.79","421","2","137","0","577.5","3"
"44","376","0","126","1.78","417","2","131","0","576","10"
"45","373","0","124","1.58","389","2","124","0","564","5"
"46","365","0","121","1.78","387","0","129","0","559.5","8"
"47","366","0","116","1.55","372","3","129","0","547.5","2"
"48","356","0","119","1.82","389","1","126","0","549","11"
"49","357","0","116","1.79","386","2","122","0","534","1"
"50","349","0","123","1.72","407","2","111","0","535.5","10"
"51","346","0","119","1.7","409","2","111","0","523.5","5"
"52","344","0","117","1.71","385","2","113","0","519","4"
"53","342","0","116","1.71","389","3","112","0","516","5"
"54","328","0","113","1.62","377","2","114","0","513","16"
"55","326","0","104","1.43","366","4","118","0","492","6"
"56","324","0","104","2.02","381","2","118","0","489","4"
"57","325","0","101","1.79","366","6","119","0","486","5"
"58","323","0","102","1.71","369","4","121","0","487.5","6"
"59","318","0","108","1.88","389","3","106","0","484.5","8"
"60","312","0","106","1.9","389","1","105","0","477","7"
"61","311","0","104","1.83","363","4","101","0","468","5"
"62","304","0","107","1.66","379","1","97","0","466.5","8"
"63","306","0","107","1.71","386","7","91","0","456","5"
"64","301","0","106","2.1","388","1","94","0","459","6"
"65","299","0","106","1.8","374","1","89","0","451.5","3"
"66","296","0","105","1.63","377","2","82","0","448.5","5"
"67","293","0","102","1.91","381","0","90","0","444","3"
"68","290","0","99","1.67","363","2","93","0","439.5","5"
"69","288","0","100","2.03","371","2","89","0","435","4"
"70","286","0","96","1.77","366","2","94","0","432","4"
"71","280","0","96","1.97","375","0","93","0","429","6"
"72","279","0","92","1.73","362","1","95","0","420","2"
"73","276","0","90","1.81","352","0","97","0","418.5","3"
"74","274","0","92","2.01","350","1","90","0","414","3"
"75","274","0","91","2.09","349","2","88","0","411","2"
"76","272","0","87","1.67","339","1","96","0","411","3"
"77","268","0","89","1.95","343","2","94","0","408","6"
"78","264","0","91","1.85","348","2","82","0","402","6"
"79","262","0","92","2.07","364","3","78","0","396","5"
"80","263","0","90","1.96","361","4","80","0","393","3"
"81","265","0","90","1.88","362","3","78","0","394.5","1"
"82","261","0","91","2.04","355","3","80","0","397.5","7"
"83","262","0","87","1.99","337","2","85","0","391.5","1"
"84","258","0","86","2.02","338","1","84","0","393","5"
"85","261","0","90","2.18","363","4","78","0","387","1"
"86","259","0","89","2.08","348","2","81","0","391.5","4"
"87","263","0","83","2.16","342","5","89","0","388.5","1"
"88","265","0","85","2.03","344","3","89","0","394.5","1"
"89","269","0","87","2.27","358","5","89","0","397.5","1"
"90","266","0","89","1.96","363","1","89","0","403.5","4"
"91","263","0","83","2.02","328","1","92","0","399","4"
"92","258","0","85","2.08","344","1","89","0","394.5","6"
"93","257","0","84","2.22","363","3","87","0","387","4"
"94","254","0","84","2.05","356","2","87","0","385.5","5"
"95","255","0","84","2.17","348","4","85","0","381","3"
"96","254","0","81","2.23","336","2","88","0","382.5","3"
"97","253","0","79","2.35","343","4","88","0","381","5"
"98","252","0","77","2.06","349","0","94","0","379.5","1"
"99","254","0","77","2.31","339","3","96","0","378","1"
"100","250","0","76","2.22","320","1","94","0","381","5"
"101","249","0","74","2.2","313","1","96","0","375","2"
"102","248","0","79","2.31","351","0","89","0","373.5","1"
"103","249","0","80","2.29","360","1","84","0","372","0"
"104","246","0","79","2.46","353","3","88","0","373.5","6"
"105","246","0","77","2.14","348","1","85","0","369","1"
"106","244","0","77","2.33","347","2","85","0","369","4"
"107","243","0","79","2.24","355","1","81","0","366","2"
"108","243","0","80","2.32","357","2","81","0","364.5","2"
"109","244","0","81","2.27","362","1","79","0","364.5","0"
"110","241","0","78","2.36","360","2","83","0","366","5"
"111","240","0","81","2.27","378","0","77","0","361.5","1"
"112","237","0","80","2.52","380","0","69","0","360","3"
"113","235","0","82","2.42","395","2","67","0","355.5","4"
"114","232","0","82","2.43","398","3","69","0","352.5","6"
"115","233","0","77","2.55","373","2","74","0","348","1"
"116","231","0","76","2.37","367","1","72","0","349.5","3"
"117","228","0","75","2.7","370","2","75","0","346.5","5"
"118","227","0","72","2.42","355","1","76","0","342","2"
"119","227","0","72","2.48","362","1","81","0","340.5","1"
"120","230","0","72","2.67","361","4","83","0","340.5","1"
"121","230","0","73","2.58","366","4","81","0","345","4"
"122","232","0","73","2.71","377","3","80","0","345","1"
"123","232","0","79","2.71","389","2","75","0","348","2"
"124","233","0","76","2.53","385","2","80","0","348","1"
"125","232","0","75","2.52","374","0","81","0","349.5","1"
"126","235","0","77","2.58","389","3","78","0","348","0"
"127","236","0","75","2.76","390","1","85","0","352.5","0"
"128","237","0","76","2.31","377","2","82","0","354","1"
"129","239","0","77","2.48","389","3","81","0","355.5","1"
"130","237","0","79","2.42","390","2","80","0","358.5","4"
"131","234","0","78","2.45","392","0","79","0","355.5","3"
