"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Deaths"
"0","1000","0","240","1.76","794","0","515","0","0"
"1","997","0","302","1.67","1030","0","383","0","3"
"2","996","0","322","1.7","1107","0","345","0","1"
"3","994","0","340","1.55","1161","0","302","0","2"
"4","992","0","349","1.69","1171","0","279","0","2"
"5","989","0","354","1.75","1200","0","272","0","3"
"6","988","0","363","1.67","1238","0","252","0","1"
"7","987","0","364","1.71","1222","0","244","0","1"
"8","986","0","374","1.76","1261","0","227","0","1"
"9","982","0","378","1.64","1290","0","225","0","4"
"10","982","0","370","1.75","1267","3","222","0","3"
"11","980","0","379","1.65","1310","2","217","0","4"
"12","980","0","373","1.67","1260","5","222","0","5"
"13","987","0","378","1.55","1301","9","216","0","2"
"14","988","0","380","1.66","1263","4","214","0","3"
"15","990","0","379","1.64","1247","8","221","0","6"
"16","999","0","392","1.54","1243","12","195","0","3"
"17","1011","0","391","1.57","1243","12","203","0","0"
"18","1025","0","396","1.58","1228","15","208","0","1"
"19","1039","0","397","1.55","1176","16","211","0","2"
"20","1050","0","404","1.55","1192","14","217","0","3"
"21","1057","0","398","1.38","1166","9","238","0","2"
"22","1063","0","404","1.49","1141","7","240","0","1"
"23","1074","0","407","1.47","1144","16","227","0","5"
"24","1082","0","407","1.56","1174","12","226","0","4"
"25","1098","0","403","1.41","1135","18","245","0","2"
"26","1106","0","408","1.38","1096","12","244","0","4"
"27","1121","0","415","1.56","1161","17","245","0","2"
"28","1132","0","426","1.46","1157","16","245","0","5"
"29","1147","0","425","1.44","1169","15","261","0","0"
"30","1159","0","436","1.41","1210","13","240","0","1"
"31","1170","0","443","1.46","1192","17","242","0","6"
"32","1186","0","449","1.42","1231","19","246","0","3"
"33","1203","0","448","1.37","1166","20","254","0","3"
"34","1207","0","457","1.36","1163","7","253","0","3"
"35","1217","0","463","1.39","1229","15","244","0","5"
"36","1232","0","468","1.43","1248","17","239","0","2"
"37","1244","0","462","1.5","1229","13","267","0","1"
"38","1266","0","468","1.37","1212","22","260","0","0"
"39","1274","0","478","1.34","1268","10","263","0","2"
"40","1296","0","491","1.4","1266","26","254","0","4"
"41","1318","0","498","1.41","1280","23","251","0","1"
"42","1329","0","502","1.3","1268","13","276","0","2"
"43","1345","0","498","1.28","1260","18","283","0","2"
"44","1360","0","514","1.4","1301","17","275","0","2"
