"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Energy Removed","Deaths"
"106","3270","0","1256","1.44","3263","26","365","0","1622.5","1"
"107","3296","0","1253","1.46","3301","26","381","0","1635","0"
"108","3323","0","1260","1.44","3317","28","371","0","1648","1"
"109","3349","0","1259","1.42","3249","26","379","0","1661.5","0"
"110","3375","0","1300","1.45","3456","30","373","0","1674.5","4"
"111","3402","0","1296","1.45","3335","27","377","0","1687.5","0"
"112","3428","0","1307","1.41","3399","28","373","0","1701","2"
"113","3455","0","1310","1.46","3379","27","379","0","1714","0"
"114","3472","0","1332","1.44","3462","20","367","0","1727.5","3"
"115","3495","0","1323","1.42","3403","23","360","0","1736","0"
"116","3512","0","1347","1.43","3472","19","397","0","1747.5","2"
"117","3554","0","1348","1.42","3463","42","365","0","1756","0"
"118","3574","0","1358","1.41","3497","23","376","0","1777","3"
"119","3603","0","1374","1.37","3451","29","366","0","1787","0"
"120","3616","0","1388","1.37","3476","16","327","1","1801.5","3"
"121","3644","0","1367","1.43","3555","28","370","1","1808","0"
"122","3667","0","1393","1.46","3632","24","357","2","1822","1"
"123","3695","0","1416","1.42","3635","28","352","2","1833.5","0"
"124","3733","0","1408","1.45","3695","40","355","3","1847.5","2"
"125","3766","0","1426","1.38","3578","33","353","3","1866.5","0"
"126","3789","0","1452","1.37","3659","25","368","3","1883","2"
"127","3829","0","1437","1.3","3464","40","353","3","1894.5","0"
"128","3853","0","1452","1.38","3666","28","394","3","1914.5","4"
"129","3884","0","1468","1.4","3646","31","352","3","1926.5","0"
"130","3910","0","1482","1.36","3636","32","372","3","1942","6"
"131","3943","0","1501","1.36","3668","34","369","4","1955","1"
"132","3967","0","1512","1.36","3701","30","361","4","1971.5","6"
"133","4004","0","1512","1.35","3690","37","366","5","1983.5","0"
"134","4026","0","1536","1.35","3761","23","378","5","2002","1"
"135","4060","0","1545","1.36","3779","35","359","6","2013","1"
"136","4084","0","1548","1.36","3777","27","355","6","2030","3"
"137","4107","0","1547","1.35","3752","23","365","7","2042","0"
"138","4129","0","1554","1.35","3785","26","360","7","2053.5","4"
"139","4151","0","1581","1.37","3950","22","363","7","2064.5","0"
"140","4172","0","1584","1.39","4001","24","353","7","2075.5","3"
"141","4200","0","1588","1.35","3980","28","333","9","2086","0"
"142","4229","0","1602","1.37","3935","32","372","10","2100","3"
"143","4258","0","1620","1.38","4048","29","363","12","2114.5","0"
"144","4282","0","1636","1.42","4119","27","340","13","2129","3"
"145","4329","0","1633","1.42","4145","47","330","15","2141","0"
"146","4351","0","1660","1.39","4118","24","365","15","2164.5","2"
"147","4397","0","1674","1.36","4090","46","357","16","2175.5","0"
"148","4440","0","1689","1.36","4157","48","337","16","2198.5","5"
"149","4469","0","1683","1.37","4190","29","360","16","2220","0"
"150","4501","0","1711","1.39","4224","35","344","16","2234.5","3"
"151","4524","0","1716","1.39","4313","24","362","17","2250.5","1"
"152","4552","0","1723","1.36","4223","33","334","19","2262","5"
"153","4581","0","1742","1.38","4334","29","335","20","2276","0"
"154","4611","0","1775","1.36","4346","33","339","22","2290.5","3"
"155","4648","0","1772","1.32","4239","37","323","25","2305.5","0"
"156","4675","0","1770","1.32","4184","29","340","27","2324","2"
"157","4715","0","1762","1.35","4251","41","305","28","2337.5","1"
"158","4743","0","1803","1.33","4326","33","325","29","2357.5","5"
"159","4773","0","1806","1.36","4378","30","351","29","2371.5","0"
"160","4796","0","1803","1.3","4190","26","332","32","2386.5","3"
"161","4826","0","1828","1.3","4333","30","339","33","2398","0"
"162","4845","0","1856","1.3","4386","22","347","34","2413","3"
"163","4885","0","1841","1.3","4336","40","338","34","2422.5","0"
"164","4900","0","1854","1.33","4375","22","304","34","2442.5","7"
"165","4929","0","1876","1.29","4304","30","327","36","2450","1"
"166","4958","0","1877","1.3","4410","33","361","37","2464.5","4"
"167","4981","0","1867","1.28","4365","23","340","38","2479","0"
"168","5000","0","1885","1.28","4334","21","334","40","2490.5","2"
"169","5000","0","1896","1.27","4453","0","332","42","2500","0"
"170","5000","0","1898","1.29","4424","2","320","43","2500","2"
"171","5000","0","1898","1.28","4376","0","349","43","2500","0"
"172","5000","0","1900","1.25","4341","6","346","44","2500","6"
"173","5000","0","1892","1.29","4455","1","318","46","2500","1"
"174","5000","0","1910","1.28","4461","4","331","50","2500","4"
"175","5000","0","1909","1.31","4536","2","350","54","2500","2"
"176","5000","0","1913","1.28","4441","2","365","55","2500","2"
"177","5000","0","1930","1.24","4426","0","340","56","2500","0"
"178","5000","0","1910","1.31","4518","4","347","58","2500","4"
"179","5000","0","1914","1.28","4413","0","344","60","2500","0"
"180","5000","0","1911","1.25","4288","1","352","63","2500","1"
"181","5000","0","1894","1.3","4476","1","362","63","2500","1"
"182","5000","0","1893","1.31","4458","4","363","66","2500","4"
"183","5000","0","1881","1.29","4397","1","375","67","2500","1"
"184","5000","0","1927","1.3","4544","1","340","69","2500","1"
"185","5000","0","1899","1.26","4402","2","336","71","2500","2"
"186","5000","0","1924","1.28","4419","7","340","73","2500","7"
"187","5000","0","1911","1.28","4460","0","338","75","2500","0"
"188","5000","0","1897","1.31","4520","7","356","76","2500","7"
"189","5000","0","1932","1.29","4509","2","334","77","2500","2"
"190","5000","0","1909","1.25","4335","4","349","80","2500","4"
"191","5000","0","1937","1.25","4406","0","333","81","2500","0"
"192","5000","0","1914","1.27","4445","4","314","84","2500","4"
"193","5000","0","1897","1.3","4522","1","335","86","2500","1"
"194","5000","0","1867","1.27","4312","6","359","87","2500","6"
"195","5000","0","1925","1.29","4467","3","343","88","2500","3"
"196","5000","0","1899","1.28","4341","10","361","88","2500","10"
"197","5000","0","1911","1.32","4486","1","338","88","2500","1"
"198","5000","0","1893","1.29","4405","6","344","90","2500","6"
"199","5000","0","1904","1.27","4448","1","345","93","2500","1"
"200","5000","0","1912","1.32","4537","6","335","94","2500","6"
"201","5000","0","1913","1.31","4538","1","345","98","2500","1"
"202","5000","0","1918","1.28","4518","4","327","99","2500","4"
"203","5000","0","1911","1.25","4351","2","335","100","2500","2"
"204","5000","0","1897","1.27","4383","5","322","101","2500","5"
"205","5000","0","1897","1.26","4402","1","354","101","2500","1"
"206","5000","0","1914","1.27","4402","5","338","102","2500","5"
