"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Energy Removed","Deaths"
"0","1600","0","488","2.07","1924","0","586","1059","800","0"
"1","1600","0","566","2.04","2290","0","426","1059","800","0"
"2","1586","0","587","2.06","2352","0","395","1059","800","14"
"3","1586","0","599","2.05","2338","0","343","1059","793","0"
"4","1572","0","603","1.89","2351","0","325","1059","793","14"
"5","1572","0","600","2.04","2380","0","320","1059","786","0"
"6","1555","0","616","2.01","2401","0","300","1059","786","17"
"7","1555","0","587","2","2260","0","323","1059","777.5","0"
"8","1539","0","589","1.98","2263","0","324","1059","777.5","16"
"9","1539","0","593","1.96","2354","0","309","1059","769.5","0"
"10","1529","0","591","2.01","2272","0","316","1059","769.5","10"
"11","1529","0","580","1.9","2242","0","312","1059","764.5","0"
"12","1527","0","593","2.11","2343","5","302","1059","764.5","7"
"13","1534","0","587","2.1","2369","7","306","1059","763.5","0"
"14","1526","0","584","1.98","2300","2","321","1059","767","10"
"15","1537","0","593","1.98","2317","11","304","1059","763","0"
"16","1539","0","590","1.91","2293","8","306","1059","768.5","6"
"17","1553","0","604","1.92","2314","14","295","1059","769.5","0"
"18","1558","0","608","1.86","2244","11","276","1059","776.5","6"
"19","1574","0","618","1.89","2336","16","249","1059","779","0"
"20","1585","0","625","1.89","2286","14","263","1059","787","3"
"21","1601","0","624","1.89","2289","16","265","1059","792.5","0"
"22","1604","0","624","1.78","2255","13","286","1059","800.5","10"
"23","1627","0","628","1.82","2211","23","290","1059","802","0"
"24","1632","0","629","1.84","2229","15","299","1059","813.5","10"
"25","1655","0","629","1.84","2235","23","319","1059","816","0"
"26","1663","0","631","1.79","2176","15","322","1059","827.5","7"
"27","1681","0","659","1.82","2231","18","286","1059","831.5","0"
"28","1703","0","650","1.77","2209","24","304","1059","840.5","2"
"29","1721","0","657","1.74","2229","18","326","1059","851.5","0"
"30","1738","0","665","1.76","2252","21","309","1059","860.5","4"
"31","1761","0","662","1.86","2337","23","337","1059","869","0"
"32","1771","0","672","1.73","2305","18","329","1059","880.5","8"
"33","1788","0","687","1.76","2322","17","290","1059","885.5","0"
"34","1793","0","689","1.69","2278","15","318","1059","894","10"
"35","1817","0","681","1.76","2261","24","339","1059","896.5","0"
"36","1820","0","704","1.76","2292","6","322","1059","908.5","3"
"37","1835","0","705","1.72","2354","15","334","1059","910","0"
"38","1844","0","699","1.71","2323","15","342","1059","917.5","6"
"39","1868","0","718","1.56","2303","24","318","1059","922","0"
"40","1880","0","727","1.67","2301","18","343","1059","934","6"
"41","1900","0","730","1.66","2316","20","337","1059","940","0"
"42","1911","0","719","1.75","2358","14","342","1059","950","3"
"43","1929","0","734","1.71","2368","18","329","1059","955.5","0"
"44","1939","0","740","1.74","2326","13","327","1059","964.5","3"
"45","1958","0","739","1.68","2313","19","330","1059","969.5","0"
"46","1971","0","743","1.71","2410","19","350","1059","979","6"
"47","1996","0","744","1.7","2341","25","361","1059","985.5","0"
"48","2009","0","761","1.73","2466","19","357","1059","998","6"
"49","2034","0","782","1.62","2414","25","328","1059","1004.5","0"
"50","2050","0","784","1.62","2421","20","307","1059","1017","4"
"51","2077","0","797","1.6","2403","27","328","1059","1025","0"
"52","2089","0","791","1.55","2330","17","357","1059","1038.5","5"
"53","2106","0","802","1.62","2428","17","343","1059","1044.5","0"
"54","2128","0","797","1.61","2338","26","372","1059","1053","4"
"55","2151","0","820","1.63","2456","23","369","1059","1064","0"
"56","2161","0","820","1.56","2424","11","364","1059","1075.5","1"
"57","2184","0","820","1.66","2516","23","373","1059","1080.5","0"
"58","2205","0","835","1.63","2506","21","371","1059","1092","0"
"59","2223","0","832","1.67","2558","18","362","1059","1102.5","0"
"60","2240","0","858","1.63","2660","20","346","1059","1111.5","3"
"61","2257","0","857","1.61","2591","17","369","1059","1120","0"
"62","2272","0","870","1.57","2560","18","392","1059","1128.5","3"
"63","2290","0","850","1.55","2461","18","387","1059","1136","0"
"64","2301","0","869","1.59","2558","21","373","1059","1145","10"
"65","2333","0","882","1.52","2543","32","358","1059","1150.5","0"
"66","2358","0","914","1.59","2661","28","358","1059","1166.5","3"
"67","2389","0","903","1.56","2647","31","380","1059","1179","0"
"68","2407","0","913","1.55","2622","22","355","1059","1194.5","4"
"69","2440","0","921","1.51","2545","33","353","1059","1203.5","0"
"70","2453","0","938","1.51","2599","17","346","1059","1220","4"
"71","2478","0","954","1.49","2557","25","342","1059","1226.5","0"
"72","2491","0","956","1.47","2638","17","382","1059","1239","4"
"73","2514","0","955","1.49","2638","23","370","1059","1245.5","0"
"74","2531","0","968","1.55","2668","21","363","1059","1257","4"
"75","2560","0","957","1.51","2648","29","399","1059","1265.5","0"
"76","2569","0","974","1.47","2609","11","379","1059","1280","2"
"77","2590","0","973","1.4","2571","21","384","1059","1284.5","0"
"78","2606","0","988","1.47","2669","19","383","1059","1295","3"
"79","2627","0","1000","1.51","2726","21","390","1059","1303","0"
"80","2635","0","996","1.5","2728","18","416","1059","1313.5","10"
"81","2655","0","1001","1.48","2752","20","384","1059","1317.5","0"
"82","2674","0","1018","1.48","2777","23","382","1059","1327.5","4"
"83","2705","0","1043","1.47","2880","31","348","1059","1337","0"
"84","2717","0","1029","1.4","2711","14","381","1059","1352.5","2"
"85","2738","0","1041","1.44","2737","21","412","1059","1358.5","0"
"86","2754","0","1052","1.5","2827","21","387","1059","1369","5"
"87","2796","0","1056","1.43","2754","42","360","1059","1377","0"
"88","2813","0","1076","1.5","2863","22","374","1059","1398","5"
"89","2842","0","1085","1.41","2795","29","341","1059","1406.5","0"
"90","2854","0","1085","1.37","2786","17","367","1059","1421","5"
"91","2882","0","1101","1.43","2892","28","365","1059","1427","0"
"92","2896","0","1110","1.42","2884","18","378","1059","1441","4"
"93","2920","0","1115","1.38","2813","24","391","1059","1448","0"
"94","2941","0","1130","1.4","2921","21","402","1059","1460","0"
"95","2973","0","1117","1.4","2849","32","398","1059","1470.5","0"
"96","2992","0","1150","1.41","2974","21","382","1059","1486.5","2"
"97","3022","0","1147","1.42","3038","30","392","1059","1496","0"
"98","3041","0","1171","1.42","3071","22","356","1060","1511","3"
"99","3071","0","1186","1.41","2998","30","365","1060","1520.5","0"
"100","3086","0","1164","1.38","3034","22","383","1060","1535.5","7"
"101","3119","0","1181","1.37","2942","33","372","1060","1543","0"
"102","3142","0","1185","1.42","3013","24","373","1060","1559.5","1"
"103","3170","0","1215","1.38","3097","28","362","1060","1571","0"
"104","3187","0","1228","1.36","3024","20","377","1060","1585","3"
"105","3216","0","1231","1.34","2980","29","351","1060","1593.5","0"
"106","3237","0","1250","1.4","3086","24","371","1060","1608","3"
"107","3258","0","1246","1.36","3076","21","372","1060","1618.5","0"
"108","3278","0","1228","1.37","3098","25","391","1060","1629","5"
"109","3306","0","1239","1.37","3010","28","387","1060","1639","0"
"110","3331","0","1264","1.39","3080","27","388","1060","1653","2"
"111","3358","0","1273","1.37","3149","27","395","1060","1665.5","0"
"112","3377","0","1274","1.37","3207","24","398","1060","1679","5"
"113","3399","0","1311","1.38","3297","23","379","1060","1688.5","1"
"114","3420","0","1284","1.36","3204","25","397","1060","1699.5","4"
"115","3455","0","1314","1.33","3226","35","399","1060","1710","0"
"116","3482","0","1317","1.38","3243","29","403","1060","1727.5","2"
"117","3511","0","1340","1.35","3306","29","385","1061","1741","0"
"118","3529","0","1349","1.32","3246","23","346","1061","1755.5","5"
"119","3560","0","1361","1.39","3383","32","393","1061","1764.5","1"
"120","3581","0","1356","1.38","3361","24","402","1062","1780","3"
"121","3616","0","1364","1.33","3289","36","389","1062","1790.5","1"
"122","3634","0","1391","1.35","3411","21","372","1064","1808","3"
"123","3650","0","1387","1.34","3367","16","379","1065","1817","0"
"124","3672","0","1398","1.31","3359","24","397","1066","1825","2"
"125","3698","0","1403","1.36","3496","26","396","1066","1836","0"
"126","3710","0","1411","1.32","3435","18","389","1066","1849","6"
"127","3740","0","1448","1.31","3459","31","381","1066","1855","1"
"128","3765","0","1416","1.35","3497","27","361","1066","1870","2"
"129","3790","0","1436","1.36","3492","26","373","1066","1882.5","1"
"130","3822","0","1464","1.35","3612","33","363","1066","1895","1"
"131","3852","0","1452","1.29","3459","30","373","1067","1911","0"
"132","3872","0","1462","1.31","3472","23","386","1068","1926","3"
"133","3910","0","1489","1.34","3618","38","352","1068","1936","0"
"134","3924","0","1478","1.3","3525","16","377","1068","1955","2"
"135","3960","0","1494","1.32","3661","37","353","1068","1962","1"
"136","3981","0","1505","1.31","3593","23","379","1069","1980","2"
"137","4005","0","1530","1.22","3411","25","365","1071","1990.5","1"
"138","4019","0","1532","1.25","3513","19","337","1071","2002.5","5"
"139","4053","0","1525","1.28","3529","34","379","1072","2009.5","0"
"140","4072","0","1559","1.25","3589","23","375","1073","2026.5","4"
"141","4090","0","1538","1.29","3571","18","359","1076","2036","0"
"142","4114","0","1550","1.25","3508","25","384","1078","2045","1"
"143","4144","0","1580","1.26","3658","31","365","1079","2057","1"
"144","4167","0","1571","1.3","3688","27","375","1081","2072","4"
"145","4194","0","1585","1.27","3651","27","366","1081","2083.5","0"
"146","4221","0","1582","1.25","3660","29","351","1082","2097","2"
"147","4246","0","1619","1.34","3778","26","346","1082","2110.5","1"
"148","4274","0","1640","1.32","3817","31","364","1082","2123","3"
"149","4304","0","1656","1.31","3909","31","334","1083","2137","1"
"150","4324","0","1662","1.3","3881","27","361","1085","2152","7"
"151","4351","0","1652","1.24","3752","28","351","1086","2162","1"
"152","4376","0","1635","1.23","3695","28","353","1086","2175.5","3"
"153","4411","0","1684","1.25","3813","36","365","1088","2188","1"
"154","4438","0","1651","1.23","3739","29","363","1088","2205.5","2"
"155","4478","0","1690","1.24","3805","40","359","1090","2219","0"
"156","4503","0","1706","1.27","3906","32","344","1091","2239","7"
"157","4531","0","1698","1.24","3801","28","355","1092","2251.5","0"
"158","4547","0","1743","1.26","3988","22","348","1094","2265.5","6"
"159","4580","0","1731","1.25","3944","33","352","1094","2273.5","0"
"160","4610","0","1751","1.27","4010","32","337","1096","2290","2"
"161","4635","0","1755","1.24","3973","25","342","1097","2305","0"
"162","4670","0","1781","1.26","4021","37","323","1097","2317.5","2"
"163","4704","0","1784","1.25","4010","36","323","1101","2335","2"
"164","4737","0","1804","1.23","4012","35","305","1103","2352","2"
"165","4759","0","1810","1.21","3955","22","322","1105","2368.5","0"
"166","4776","0","1811","1.2","3907","21","343","1107","2379.5","4"
"167","4803","0","1792","1.23","3969","29","342","1109","2388","2"
"168","4827","0","1842","1.2","4001","28","314","1110","2401.5","4"
"169","4856","0","1837","1.24","4136","29","325","1110","2413.5","0"
"170","4876","0","1852","1.26","4222","28","331","1112","2428","8"
"171","4905","0","1875","1.23","4154","29","313","1113","2438","0"
"172","4926","0","1884","1.2","4068","25","320","1113","2452.5","4"
"173","4953","0","1891","1.24","4190","28","309","1117","2463","1"
"174","4975","0","1898","1.2","4138","28","321","1120","2476.5","6"
"175","5000","0","1890","1.18","4058","25","294","1123","2487.5","0"
"176","4999","0","1893","1.18","4053","2","319","1126","2500","3"
"177","5000","0","1927","1.23","4243","1","326","1129","2499.5","0"
"178","5000","0","1900","1.19","4078","7","312","1132","2500","7"
"179","5000","0","1886","1.19","4051","1","316","1133","2500","1"
"180","5000","0","1908","1.19","4132","2","287","1134","2500","2"
"181","5000","0","1907","1.2","4170","1","323","1135","2500","1"
"182","5000","0","1910","1.21","4204","5","277","1137","2500","5"
"183","5000","0","1887","1.23","4106","2","303","1138","2500","2"
"184","5000","0","1903","1.2","4156","7","326","1142","2500","7"
"185","5000","0","1896","1.21","4091","0","330","1142","2500","0"
"186","5000","0","1896","1.26","4258","2","333","1142","2500","2"
"187","5000","0","1877","1.24","4208","0","337","1142","2500","0"
"188","5000","0","1911","1.18","4122","4","340","1144","2500","4"
"189","5000","0","1898","1.23","4161","1","326","1146","2500","1"
"190","5000","0","1901","1.22","4147","4","348","1148","2500","4"
"191","5000","0","1898","1.24","4202","1","309","1149","2500","1"
"192","5000","0","1909","1.21","4108","10","323","1150","2500","10"
"193","5000","0","1903","1.22","4189","0","320","1151","2500","0"
"194","5000","0","1913","1.21","4192","7","319","1151","2500","7"
"195","5000","0","1910","1.22","4247","1","328","1152","2500","1"
"196","5000","0","1892","1.2","4163","5","335","1154","2500","5"
"197","5000","0","1911","1.23","4272","2","343","1155","2500","2"
"198","5000","0","1911","1.21","4212","5","337","1158","2500","5"
"199","5000","0","1899","1.24","4203","5","323","1158","2500","5"
"200","4999","0","1884","1.16","4010","4","319","1160","2500","5"
"201","5000","0","1906","1.16","4013","5","310","1161","2499.5","4"
"202","5000","0","1902","1.22","4195","3","320","1162","2500","3"
"203","5000","0","1892","1.23","4177","3","333","1164","2500","3"
"204","5000","0","1892","1.17","4042","8","337","1164","2500","8"
"205","5000","0","1917","1.21","4167","3","378","1166","2500","3"
"206","5000","0","1911","1.2","4239","8","333","1168","2500","8"
"207","5000","0","1886","1.16","3950","2","324","1171","2500","2"
"208","5000","0","1879","1.14","3892","0","316","1171","2500","0"
"209","5000","0","1887","1.18","3978","1","324","1171","2500","1"
"210","5000","0","1897","1.19","4047","4","326","1173","2500","4"
"211","5000","0","1899","1.2","4111","1","310","1174","2500","1"
"212","5000","0","1913","1.16","4034","5","322","1175","2500","5"
"213","5000","0","1888","1.19","4073","4","348","1178","2500","4"
"214","5000","0","1900","1.18","4118","5","324","1178","2500","5"
"215","5000","0","1900","1.2","4038","3","322","1179","2500","3"
"216","5000","0","1883","1.18","4038","9","349","1180","2500","9"
"217","5000","0","1894","1.21","4149","0","328","1180","2500","0"
"218","5000","0","1902","1.22","4182","11","328","1182","2500","11"
"219","5000","0","1903","1.2","4116","0","332","1185","2500","0"
"220","5000","0","1906","1.2","4096","4","302","1185","2500","4"
"221","5000","0","1893","1.17","4026","1","336","1187","2500","1"
"222","5000","0","1876","1.21","4160","7","345","1190","2500","7"
"223","5000","0","1912","1.19","4094","1","346","1191","2500","1"
"224","5000","0","1905","1.21","4120","5","351","1192","2500","5"
"225","5000","0","1891","1.19","4110","5","324","1193","2500","5"
"226","5000","0","1897","1.16","4067","9","338","1193","2500","9"
"227","5000","0","1925","1.19","4171","1","339","1193","2500","1"
"228","5000","0","1897","1.17","4066","6","329","1194","2500","6"
"229","5000","0","1894","1.2","4109","5","356","1194","2500","5"
"230","5000","0","1893","1.16","4017","12","330","1194","2500","12"
"231","5000","0","1902","1.17","4087","4","326","1195","2500","4"
"232","5000","0","1911","1.18","4107","7","326","1197","2500","7"
"233","5000","0","1912","1.23","4231","2","338","1198","2500","2"
"234","5000","0","1922","1.21","4202","5","306","1199","2500","5"
"235","5000","0","1914","1.18","4112","4","342","1200","2500","4"
"236","5000","0","1886","1.2","4158","5","314","1201","2500","5"
"237","5000","0","1908","1.18","4112","5","325","1202","2500","5"
"238","5000","0","1904","1.2","4155","10","334","1202","2500","10"
"239","5000","0","1876","1.21","4169","2","349","1202","2500","2"
"240","5000","0","1889","1.15","4020","11","325","1203","2500","11"
"241","5000","0","1898","1.2","4160","2","331","1204","2500","2"
"242","5000","0","1922","1.16","4148","5","332","1206","2500","5"
"243","5000","0","1892","1.18","4104","3","334","1207","2500","3"
"244","5000","0","1913","1.16","4049","6","317","1207","2500","6"
"245","5000","0","1914","1.2","4183","2","307","1207","2500","2"
"246","5000","0","1898","1.23","4240","6","355","1208","2500","6"
"247","5000","0","1898","1.21","4212","2","328","1208","2500","2"
"248","5000","0","1916","1.18","4103","7","313","1208","2500","7"
"249","5000","0","1913","1.19","4135","2","333","1210","2500","2"
"250","5000","0","1909","1.21","4204","6","313","1210","2500","6"
"251","5000","0","1905","1.21","4195","2","340","1211","2500","2"
"252","5000","0","1906","1.21","4154","2","307","1211","2500","2"
"253","5000","0","1887","1.22","4238","6","317","1211","2500","6"
"254","5000","0","1894","1.19","4109","6","329","1214","2500","6"
"255","5000","0","1919","1.22","4270","4","336","1216","2500","4"
"256","5000","0","1894","1.21","4162","8","344","1218","2500","8"
